cell_id,center_x,center_y,action
204,601863.8459204244,5759083.788334359,KEEP
205,698863.8459204244,5621083.788334359,DROP
206,595863.8459204244,5744083.788334359,KEEP
207,652863.8459204244,5724083.788334359,KEEP
208,620863.8459204244,5686083.788334359,KEEP
209,614863.8459204244,5632083.788334359,KEEP
210,556863.8459204244,5726083.788334359,KEEP
211,618863.8459204244,5733083.788334359,KEEP
212,639863.8459204244,5630083.788334359,KEEP
213,574863.8459204244,5759083.788334359,KEEP
214,605863.8459204244,5659083.788334359,KEEP
215,571863.8459204244,5718083.788334359,KEEP
216,610863.8459204244,5675083.788334359,KEEP
217,614863.8459204244,5756083.788334359,KEEP
218,646863.8459204244,5681083.788334359,KEEP
219,655863.8459204244,5612083.788334359,DROP
220,561863.8459204244,5649083.788334359,KEEP
221,681863.8459204244,5761083.788334359,DROP
222,534863.8459204244,5738083.788334359,KEEP
223,595863.8459204244,5666083.788334359,KEEP
224,589863.8459204244,5707083.788334359,KEEP
225,702863.8459204244,5626083.788334359,DROP
226,583863.8459204244,5741083.788334359,KEEP
227,556863.8459204244,5604083.788334359,DROP
228,612863.8459204244,5740083.788334359,KEEP
229,645863.8459204244,5722083.788334359,KEEP
230,609863.8459204244,5631083.788334359,KEEP
231,628863.8459204244,5757083.788334359,KEEP
232,633863.8459204244,5683083.788334359,KEEP
233,523863.8459204245,5651083.788334359,DROP
234,683863.8459204244,5690083.788334359,DROP
235,667863.8459204244,5649083.788334359,KEEP
236,627863.8459204244,5644083.788334359,KEEP
237,537863.8459204244,5708083.788334359,KEEP
238,664863.8459204244,5668083.788334359,KEEP
239,611863.8459204244,5688083.788334359,KEEP
240,668863.8459204244,5672083.788334359,KEEP
241,660863.8459204244,5659083.788334359,KEEP
242,565863.8459204244,5628083.788334359,KEEP
243,547863.8459204244,5706083.788334359,KEEP
244,573863.8459204244,5729083.788334359,KEEP
245,695863.8459204244,5633083.788334359,DROP
246,618863.8459204244,5713083.788334359,KEEP
247,695863.8459204244,5761083.788334359,DROP
248,586863.8459204244,5736083.788334359,KEEP
249,647863.8459204244,5605083.788334359,DROP
250,534863.8459204244,5689083.788334359,KEEP
251,642863.8459204244,5714083.788334359,KEEP
252,669863.8459204244,5674083.788334359,KEEP
253,531863.8459204244,5695083.788334359,KEEP
254,680863.8459204244,5617083.788334359,DROP
255,662863.8459204244,5740083.788334359,KEEP
256,657863.8459204244,5735083.788334359,KEEP
257,590863.8459204244,5751083.788334359,KEEP
258,563863.8459204244,5612083.788334359,DROP
259,568863.8459204244,5662083.788334359,KEEP
260,654863.8459204244,5610083.788334359,DROP
261,539863.8459204244,5647083.788334359,KEEP
262,704863.8459204244,5607083.788334359,DROP
263,646863.8459204244,5750083.788334359,KEEP
264,609863.8459204244,5736083.788334359,KEEP
265,588863.8459204244,5633083.788334359,KEEP
266,640863.8459204244,5649083.788334359,KEEP
267,554863.8459204244,5635083.788334359,KEEP
268,522863.84592042456,5667083.788334359,DROP
269,667863.8459204244,5663083.788334359,KEEP
270,654863.8459204244,5644083.788334359,KEEP
271,587863.8459204244,5622083.788334359,KEEP
272,527863.8459204244,5609083.788334359,DROP
273,655863.8459204244,5694083.788334359,KEEP
274,544863.8459204244,5668083.788334359,KEEP
275,595863.8459204244,5712083.788334359,KEEP
276,606863.8459204244,5744083.788334359,KEEP
277,562863.8459204244,5674083.788334359,KEEP
278,609863.8459204244,5668083.788334359,KEEP
279,670863.8459204244,5644083.788334359,KEEP
280,626863.8459204244,5611083.788334359,DROP
281,529863.8459204244,5721083.788334359,DROP
282,657863.8459204244,5680083.788334359,KEEP
283,646863.8459204244,5631083.788334359,KEEP
284,609863.8459204244,5721083.788334359,KEEP
285,578863.8459204244,5690083.788334359,KEEP
286,603863.8459204244,5640083.788334359,KEEP
287,598863.8459204244,5676083.788334359,KEEP
